"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"APOLLOHOSP","08-May-2019","27-Jun-2019","CE","1460","0","0","0","23.9","0","2","0","0","0","0","0","1170.3"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1440","0","0","0","26.9","0","2.1","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1040","0","0","0","192.15","0","147.1","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1480","0","0","0","21.15","0","1.1","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1500","0","0","0","18.75","0","0.8","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1520","0","0","0","16.55","0","0.6","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1540","0","0","0","14.6","0","0.4","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1300","0","0","0","58.95","0","14.4","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1320","0","0","0","53","0","11.25","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1340","0","0","0","47.55","0","8.7","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1360","0","0","0","42.65","0","6.65","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1380","0","0","0","38.15","0","5.05","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1400","0","0","0","34.05","0","3.8","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1420","0","0","0","30.25","0","2.8","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1180","0","0","0","106.8","0","51.95","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1200","0","0","0","97.3","0","43.05","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1220","0","0","0","88.4","0","35.3","0","0","0","0","0","1169.6"
