Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1200,0,0,0,4.3,4.3,0.6,0,0,0,6600,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1220,2.15,2.15,1.8,1.8,1.8,1.8,10,67.21,0.11,6600,1100,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1240,0,0,0,4,4,1.9,0,0,0,5500,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1260,5.7,5.7,3.1,3.6,3.6,3.6,5,34.76,0.11,11550,-550,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1280,5.5,5.5,4.8,5,5,5,7,49.48,0.2,10450,-2750,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1300,10.5,10.5,6.8,7.95,7.85,7.95,27,194.21,1.16,33550,3850,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1320,14.8,14.8,9.45,11.1,11.2,11.1,36,263.58,2.22,19800,6050,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1340,19.05,22.4,13,15.95,15.6,15.95,189,1410.04,17.11,18150,2200,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1360,29.15,30.9,18.75,22.5,22.1,22.5,105,798.72,13.32,25850,11000,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1380,39.35,39.35,26,30.55,30.4,30.55,40,310.47,6.87,7700,3300,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1400,35,37.65,35,37.65,37.65,37.65,3,23.71,0.61,39600,1100,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1420,0,0,0,68.6,68.6,53,0,0,0,2200,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1440,0,0,0,112,112,65.9,0,0,0,4400,0,1390.7
